Zip,Address,List Price,List  Date,Approx Living Area,Approx Total SqFt,Cond,Beds Total,Baths Full,Baths Half,DOM,Close Price,Close Date,SP$/SQFT
70115,935 Valence  St ,"$975,000",6/10/2022,"2,848","3,348",EXCE,4,3,0,59,"$930,000",9/13/2022,$326.54
70115,2222 Delachaise  St ,"$199,000",7/15/2022,"1,289","1,365",FAIR,3,2,0,40,"$183,000",9/13/2022,$141.97
70118,2628 Dublin  St ,"$374,000",8/2/2022,"1,468","1,775",EXCE,3,2,0,14,"$355,000",9/13/2022,$241.83
70124,10 Egret  St ,"$899,000",8/16/2022,"2,746","3,696",EXCE,4,3,0,2,"$894,000",9/13/2022,$325.56
70124,6770 General Haig  St ,"$850,000",7/7/2022,"2,640","3,764",EXCE,3,2,1,30,"$771,500",9/14/2022,$292.23
70115,809 Milan  St ,"$749,000",7/8/2022,"1,800","2,100",EXCE,3,2,1,14,"$740,000",9/14/2022,$411.11
70115,1125 Arabella  St ,"$835,000",7/12/2022,"1,798","1,798",EXCE,3,2,0,33,"$810,000",9/14/2022,$450.50
70124,6141 General Diaz  St ,"$699,000",6/24/2022,"2,412","3,167",EXCE,3,2,1,39,"$680,000",9/15/2022,$281.92
70118,408 Walnut  St ,"$1,950,000",7/7/2022,"3,997","4,995",EXCE,4,4,0,6,"$1,907,000",9/15/2022,$477.11
70119,4715 Toulouse  St ,"$325,000",8/19/2022,915,975,AVG,2,1,0,3,"$325,000",9/15/2022,$355.19
70124,425 Emerald  St ,"$659,000",7/7/2022,"2,457","2,457",EXCE,4,3,0,36,"$647,000",9/16/2022,$263.33
70124,6457 General Diaz  St ,"$600,000",8/1/2022,"1,720","1,839",EXCE,3,2,0,13,"$575,000",9/16/2022,$334.30
70124,29 Thrasher  St ,"$525,000",8/4/2022,"1,973","2,294",VRGD,3,2,0,2,"$515,000",9/16/2022,$261.02
70119,864 Taft  Pl ,"$399,000",8/8/2022,"1,529","1,529",POOR,4,1,1,8,"$355,000",9/16/2022,$232.18
70115,2114 Jefferson  Ave ,"$925,000",5/13/2022,"3,591","3,823",EXCE,5,4,0,91,"$910,000",9/19/2022,$253.41
70115,1026 Cadiz  St ,"$795,000",6/20/2022,"1,760","3,180",VRGD,2,2,0,59,"$780,000",9/19/2022,$443.18
70115,211 Alonzo  St ,"$324,900",4/22/2022,"1,864","1,954",POOR,3,2,0,119,"$315,000",9/20/2022,$168.99
70124,6617 Colbert  St ,"$700,000",5/2/2022,"3,009","3,653",VRGD,4,3,0,118,"$660,000",9/20/2022,$219.34
70115,1331 Louisiana  Ave ,"$1,699,000",7/11/2022,"3,597","4,194",EXCE,5,4,1,29,"$1,699,000",9/20/2022,$472.34
70115,2224 Valence  St ,"$420,000",7/14/2022,"2,700","2,925",AVG,6,4,0,13,"$405,000",9/20/2022,$150.00
70125,3600 Napoleon  Ave ,"$970,000",7/14/2022,"3,912","6,791",VRGD,4,4,0,51,"$900,000",9/20/2022,$230.06
70115,4827 St Charles  Ave ,"$2,000,000",8/1/2022,"4,961","5,890",VRGD,5,4,1,15,"$1,950,000",9/20/2022,$393.07
70115,2319 Robert  St ,"$579,000",4/25/2022,"2,682","5,400",VRGD,4,3,0,121,"$510,000",9/21/2022,$190.16
70119,1767  N Miro  St ,"$360,000",5/22/2022,"1,830","2,026",NEW,3,2,0,78,"$350,000",9/21/2022,$191.26
